"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"ENSG00000198815","ENSG00000198815",0.0313937689593925,23.4661713566376,6.5476146833185,6.53382864336241,0.0198165647681352,0.574608138111073,0.743135362614459
"ENSG00000198816","ENSG00000198816",0.0995347283738414,21.9793020936258,3.67120331787281,8.02069790637418,0.048379963578169,0.250920605812974,0.504597223101676
"ENSG00000198818","ENSG00000198818",0.129639922159979,15.6378985277653,4.75047072734052,14.3621014722347,0.37577020557205,5.37622846819019e-06,0.0012202083630648
"ENSG00000198821","ENSG00000198821",0.111414697487306,4.81819520148459,0.977855131014673,1.18180479851541,0.041054847290891,0.311246972205876,0.551099108791416
"ENSG00000198822","ENSG00000198822",0.0760381878056293,1.97735748565727,7.21005582039062,4.02264251434273,0.0213603643470458,0.549896515747788,0.72602821345393
"ENSG00000198824","ENSG00000198824",0.160945397687498,21.2681783949709,2.94324820218953,8.73182160502907,0.0328957907935004,0.394938492688003,0.612650552604013
"ENSG00000198825","ENSG00000198825",0.176207039675916,14.2164050471358,8.38910195838331,15.7835949528642,0.0970357707190005,0.0563994062037115,0.263197228950654
"ENSG00000198830","ENSG00000198830",0.118888613426858,13.8685656788843,5.81598869289875,16.1314343211157,0.180091638222544,0.0033731760737632,0.0644231235762993
"ENSG00000198832","ENSG00000198832",0.0816121686368806,5.09507062985081,4.8607709767038,0.904929370149193,0.0626193491938947,0.163913809608526,0.417339096711294
"ENSG00000198833","ENSG00000198833",0.0424307007978159,12.3875860151918,5.91693010281766,17.6124139848082,0.0622246983303951,0.165859808814799,0.419368442871659
"ENSG00000198835","ENSG00000198835",0.197140570058418,11.4784950316202,2.9482697285804,-5.47849503162024,0.0695041143834354,0.133044352907367,0.379313730717859
"ENSG00000198836","ENSG00000198836",0.0170960769340354,14.4978446107833,8.57200245248547,15.5021553892167,0.00196662925355529,0.947278585732597,0.968441528461535
"ENSG00000198837","ENSG00000198837",0.124196325736703,23.6617169959853,5.04803190258899,6.33828300401467,0.0318820655328064,0.406713931860703,0.621317845084661
"ENSG00000198838","ENSG00000198838",0.101688838811481,0.268265177704235,8.19117050645633,5.73173482229577,0.0417588713522166,0.304912927907057,0.546417058864464
"ENSG00000198839","ENSG00000198839",0.0375309015634439,13.0311610591004,5.13076775420598,16.9688389408996,0.0496277456292824,0.241803499826983,0.497453800055383
"ENSG00000198840","ENSG00000198840",0.305699719369207,20.7886730917425,7.2634301056954,9.21132690825746,0.154927378582961,0.00820285389757014,0.103175103584939
"ENSG00000198841","ENSG00000198841",0.133485269575991,8.88133088265343,1.45362550743307,-2.88133088265343,0.123735895135787,0.0236751832642244,0.177477046181203
"ENSG00000198843","ENSG00000198843",0.0792536637421543,13.9474848014318,7.66190940515798,16.0525151985682,0.048815438171247,0.247699886545288,0.501948349073266
"ENSG00000198846","ENSG00000198846",0.125604447016356,13.9011028981088,3.32555741390891,16.0988971018912,0.04098714247625,0.311872960698792,0.551506804419482
"ENSG00000198853","ENSG00000198853",0.0593860054688364,0.804101964658323,6.27521228381274,5.19589803534168,0.0146876236990068,0.664421586241547,0.798618701355098
"ENSG00000198855","ENSG00000198855",0.0508705703342755,12.1575215380618,3.6797701451179,17.8424784619382,0.0275278310314462,0.461058804209489,0.663166773178032
"ENSG00000198856","ENSG00000198856",0.075144723765759,11.468732746887,4.38991591012784,-5.46873274688701,0.0432138035064707,0.292227179213481,0.53773168375257
"ENSG00000198858","ENSG00000198858",0.0235215103716381,19.8175140050578,4.09038432301368,10.1824859949422,0.00759732599010821,0.810500425862461,0.889594868509453
"ENSG00000198860","ENSG00000198860",0.142964198926212,14.4648915563865,5.11129710692192,15.5351084436135,0.179249817141815,0.00347796365408892,0.0654663573880229
"ENSG00000198862","ENSG00000198862",0.0763148212276345,15.85549716547,7.14103510200893,14.14450283453,0.129913229853364,0.0192789923709689,0.159324502990271
"ENSG00000198863","ENSG00000198863",0.0863622831671705,23.9994013843197,5.47694283321338,6.00059861568034,0.0611721690439266,0.171238122607986,0.426149418763055
"ENSG00000198865","ENSG00000198865",0.104378297320355,5.96127836163852,3.69802918318293,0.0387216383614835,0.0528543942130025,0.219682828586938,0.475744272678868
"ENSG00000198873","ENSG00000198873",0.029243590078793,12.2590202817375,4.49017795069267,17.7409797182625,0.0115988156467804,0.724777994347466,0.83691222155368
"ENSG00000198874","ENSG00000198874",0.0362650386471783,0.650055848226007,4.45631700165539,5.34994415177399,0.0399445843386238,0.321569005032802,0.560060537054402
"ENSG00000198876","ENSG00000198876",0.0557895201569431,16.1520715387052,4.37074191314854,13.8479284612948,0.0752519991866126,0.111569480747563,0.353526279425411
"ENSG00000198879","ENSG00000198879",0.062404610564836,13.2195530129801,6.1709217802487,16.7804469870199,0.0152072792965615,0.654787580325741,0.792569570185046
"ENSG00000198883","ENSG00000198883",0.306147499953078,12.1863812798047,4.27321883734521,17.8136187201953,0.0260410210198526,0.481130969487134,0.678753724672092
"ENSG00000198886","ENSG00000198886",0.316438767510411,19.0312378864514,7.84142016947393,10.9687621135486,0.105624962270491,0.0428286977210657,0.236174077720841
"ENSG00000198887","ENSG00000198887",0.0822335757844929,15.4797384773484,6.00289137830765,14.5202615226516,0.108666809737184,0.0388112539775944,0.225385031635032
"ENSG00000198888","ENSG00000198888",0.248975294371438,21.3607493499841,6.74574923738868,8.63925065001592,0.0818808089568082,0.09094398751933,0.324424412255962
"ENSG00000198890","ENSG00000198890",0.0481713663921138,10.6625570124873,4.38694082105627,-4.66255701248735,0.0225251565680745,0.531955878433374,0.712559044275951
"ENSG00000198892","ENSG00000198892",0.0844869445813893,4.97377038561809,5.1190007947388,1.02622961438191,0.0622352313312753,0.165809956514458,0.419368442871659
"ENSG00000198894","ENSG00000198894",0.0491777068320662,18.4929248099685,6.95265380455868,11.5070751900315,0.0940249336163594,0.0620741619763147,0.27550576233263
"ENSG00000198898","ENSG00000198898",0.105840916916276,12.274833273399,7.70153886041933,17.725166726601,0.0693532535035067,0.133658676613667,0.380042342672165
"ENSG00000198899","ENSG00000198899",0.239672760327562,20.4976071665123,7.30063216479534,9.50239283348774,0.0976085740617265,0.0553689949971751,0.261332110008219
"ENSG00000198900","ENSG00000198900",0.0484286197590528,0.301969409276739,5.82520355450328,5.69803059072326,0.0457024701126909,0.2716091801219,0.52073145713716
"ENSG00000198909","ENSG00000198909",0.0536841182162118,3.72442635503257,4.97561528238497,2.27557364496743,0.0691748114146679,0.134383261878369,0.380667650900467
"ENSG00000198910","ENSG00000198910",0.210955761942792,2.83885781672182,6.10397821573795,3.16114218327818,0.0883922478952401,0.0741556877564705,0.297359846535886
"ENSG00000198911","ENSG00000198911",0.14717578654686,22.7301392378457,6.64142699083647,7.26986076215431,0.0555762545629336,0.202544259393574,0.458844908601078
"ENSG00000198912","ENSG00000198912",0.0875932431574887,11.4303860576117,3.45788303975305,-5.43038605761166,0.0831257603538675,0.0874682721062369,0.318111492678926
"ENSG00000198914","ENSG00000198914",0.0192860036006059,21.9149917164632,6.11524425976604,8.08500828353683,0.00389781423345426,0.89811489879983,0.942181714815671
"ENSG00000198915","ENSG00000198915",0.0892859974127597,6.33919065443947,5.921011546619,-0.339190654439474,0.172966129019019,0.00434787000344727,0.0738945090386327
"ENSG00000198918","ENSG00000198918",0.183639597719067,14.7537274508997,6.12882970575392,15.2462725491003,0.171845187329998,0.00451912731756177,0.0754294618425056
"ENSG00000198919","ENSG00000198919",0.0365219339948915,15.469190632666,7.84995038107,14.530809367334,0.0379915467831011,0.34049156974793,0.574180493945122
"ENSG00000198920","ENSG00000198920",0.109883450074328,22.7910827791477,5.17071807226178,7.20891722085226,0.0648101938268952,0.153419802637024,0.403198703935763
"ENSG00000198924","ENSG00000198924",0.0487366950925133,13.7017207051117,4.9955440695921,16.2982792948883,0.045604153943866,0.272391567988437,0.521253618432498
"ENSG00000198925","ENSG00000198925",0.0794181275121285,3.67116018795032,5.10632069728111,2.32883981204968,0.116393804085163,0.0301729255740998,0.201021707540613
"ENSG00000198929","ENSG00000198929",0.203030639224366,13.8232939048235,3.26606059814966,16.1767060951765,0.0274172865355481,0.462530261649635,0.663974989333169
"ENSG00000198931","ENSG00000198931",0.0795807620605913,5.3945432456973,3.60398499129029,0.6054567543027,0.0449087674256948,0.278014320969311,0.52635497062799
"ENSG00000198932","ENSG00000198932",0.091304816012195,12.0336992059458,8.47495500202226,17.9663007940542,0.0867300813186064,0.0780994282951231,0.302568672166853
