"","genes","A","phase","offset","peak","R2","pvalue","qvalue","peak_CI_left","peak_CI_right"
"ENSG00000120306","ENSG00000120306",0.0817799867013317,22.9521524397937,4.22923613876672,7.04784756020634,0.0589689234545135,0.204972424835439,0.489748639764226,-0.61861449602994,9.08984087974745
"ENSG00000120314","ENSG00000120314",0.0383087686645108,11.5962450939258,3.99872310856994,-5.59624509392579,0.0225391340080514,0.547728755263002,0.733911530301706,8.18948845333246,-3.3629432346391
"ENSG00000120318","ENSG00000120318",0.137147370958768,3.81379186086537,2.3136948284361,2.18620813913463,0.0491756933653336,0.268027634465991,0.547191392018978,0.164064346056507,5.16922017499264
"ENSG00000120322","ENSG00000120322",0.120790246790393,22.8228272169196,1.63016670103691,7.17717278308038,0.0295436426611662,0.455028761193145,0.672041645505333,-2.48882011826282,10.6616809295389
"ENSG00000120324","ENSG00000120324",0.0611179150283033,22.6528893799594,3.34635486694364,7.3471106200406,0.0284945182733118,0.467914961750578,0.681597906084793,0.538581507779438,10.7471896114282
"ENSG00000120327","ENSG00000120327",0.0691577172758513,4.43060152278063,4.14593066371,1.56939847721937,0.0374633332515323,0.368596928185969,0.615868218974486,-5.98307258222726,4.02309494982927
"ENSG00000120328","ENSG00000120328",0.0113404099595501,10.6518749413069,3.54433576363558,-4.65187494130692,0.000960081556697689,0.973477435806203,0.983615152314071,13.5709278952907,4.72252238035518
"ENSG00000120333","ENSG00000120333",0.0440286722279101,13.8893406076044,5.36371202312663,16.1106593923956,0.0408890211367199,0.335222083852221,0.592029615356421,14.7253533363289,-4.24687819793501
"ENSG00000120334","ENSG00000120334",0.0318485732330254,9.51129488176014,2.65743397005893,-3.51129488176014,0.0105693556452379,0.751933226590761,0.856145006211851,15.6693020266272,0.463260292653945
"ENSG00000120370","ENSG00000120370",0.0828691288696587,12.1452450887182,3.65222325562645,17.8547549112818,0.0510430880624297,0.254821206191069,0.535858585858586,13.8325671027169,-3.35476723379888
"ENSG00000120437","ENSG00000120437",0.121462067074645,13.0139775741985,4.73806200716736,16.9860224258015,0.0352993475504365,0.390105556543913,0.629962464331539,11.7250891806983,-5.15554337672167
"ENSG00000120438","ENSG00000120438",0.0902950675781303,12.0873211138734,7.36850348545435,17.9126788861266,0.0489526850331126,0.269658423768013,0.548221239044737,13.5425786220382,-3.00835761316797
"ENSG00000120451","ENSG00000120451",0.0453470191985777,2.21616991654497,6.92986247075202,3.78383008345503,0.0249741292038477,0.513921010496353,0.71394735758125,2.14561794583421,9.80212766281011
"ENSG00000120458","ENSG00000120458",0.105534069330161,17.5016274162629,4.02860382543119,12.4983725837371,0.182744946563028,0.00664472513787584,0.132290436835892,11.1818444232648,13.9490401337473
"ENSG00000120509","ENSG00000120509",0.112763585014614,13.4442381445987,4.0631602325992,16.5557618554013,0.139093360860646,0.0209838107098381,0.201934600239685,15.1151578148912,-4.05868191702658
"ENSG00000120519","ENSG00000120519",0.130150692973172,15.8915100241846,3.45518949268981,14.1084899758154,0.244639258236802,0.00206072466346441,0.0972027972027981,11.7006489045852,15.3541344846823
"ENSG00000120526","ENSG00000120526",0.103782663602633,11.2499067681568,5.17027482628684,-5.24990676815679,0.0787317383396035,0.11914546640574,0.401765011593508,14.4844867421611,-3.71878007305636
"ENSG00000120533","ENSG00000120533",0.0668323015692035,13.1260150013436,5.33672801354601,16.8739849986564,0.0897161375165991,0.0871760659431893,0.358407079646018,14.7162478910256,-4.90543569329022
"ENSG00000120539","ENSG00000120539",0.100562121336894,11.6391466581107,3.44020591540074,-5.63914665811074,0.0559569330717877,0.223047500444761,0.508373205741627,14.3988454413868,-3.9847869684651
